MCI),6.25,4.38,2.38,0.38,1.12,1,0.78,0.5,1.4,
CHE),7.83,4.17,2.5,0.67,1.67,0.67,0.66,0.48,1.23,
FUL),8,5.75,2.25,1.12,2.62,1.38,0.82,0.46,1.38,
BHA),8.67,4.83,2.83,0.5,1.17,1.17,0.86,0.45,1.36,
BUR),12.62,7.12,3.88,0.12,0.88,1.88,1.26,0.34,1.38,
THS),9.29,6.71,2.86,1,2.29,1.71,1.17,0.34,1.44,
WHU),13.4,7.4,3.2,0.8,3.2,1.2,1.06,0.33,1.34,
MUN),10.71,5.86,3.86,1,1.29,1.43,1.06,0.33,1.25,
AVL),15.43,8.86,5.14,1.14,2,1.43,1.31,0.3,1.25,
LEE),11.33,6.33,4.67,0.83,1.83,1.5,1.34,0.28,1.4,
WBA),11.14,7.14,4.86,0.43,2,1.71,1.43,0.28,1.46,
LEI),11.14,6.57,3,1,1.86,1.86,1.29,0.27,1.13,
CPL),16.86,11.43,4.43,1.29,4.71,2.14,1.52,0.25,1.3,
WOL),13.86,9.43,4.86,1.29,2,2.43,1.69,0.24,1.11,
SOU),10.71,7,5,1.14,1.71,2.57,1.8,0.23,0.99,
LIV),10,7.29,4.43,0.57,1.71,2.57,1.59,0.23,1.3,
ARS),10.67,7.5,5.17,0,1.33,1.67,1.44,0.22,1.19,
NEW),13.33,8.67,4.67,0.67,3.67,2.17,1.57,0.22,1.35,
EVE),13.29,8.57,4.57,0.71,2.86,2,1.51,0.2,1.21,
SHU),13.14,8.86,6,0.43,1.57,3.29,2.16,0.11,1.33,
